stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BARDONECCHIA,EC,Mon,6.538461538461538,3.0,1,13,5,3,2,45.076447,6.709959
BRESSANONE,EC,Mon,6.967532467532467,2.0,12,154,63,50,25,46.710088,11.649677
COMO S. GIOVANNI,EC,Mon,4.973333333333334,2.0,12,75,30,22,12,45.808946,9.072331
MILANO LAMBRATE,EC,Mon,3.5,3.0,2,6,2,1,0,45.484933,9.237333
MODANE,EC,Mon,3.857142857142857,0.0,2,14,5,5,4,,
PESCHIERA DEL GARDA,EC,Mon,9.25,4.0,2,16,9,6,4,45.438502,10.702509
TRENTO,EC,Mon,7.207692307692308,5.0,10,130,76,50,23,46.072414,11.118941
VERONA PORTA NUOVA,EC,Mon,8.25563909774436,5.0,11,133,81,62,26,45.428603,10.982377
BOLOGNA C.LE,EC,Mon,12.906976744186046,5.0,5,43,25,21,16,44.50626,11.342267
BRESCIA,EC,Mon,7.625,5.0,2,16,9,7,3,45.532315,10.212828
GALLARATE,EC,Mon,8.548387096774194,7.0,5,62,47,39,16,45.659828,8.798243
ROMA TERMINI,EC,Mon,116.0,116.0,1,1,1,1,1,41.900636,12.502026
ROVERETO,EC,Mon,7.8076923076923075,5.0,10,130,82,59,26,45.890985,11.033518
STRESA,EC,Mon,6.175257731958763,5.0,9,97,68,48,18,45.884486,8.531454
VENEZIA MESTRE,EC,Mon,7.0,1.0,4,42,14,11,10,45.482123,12.232069
VICENZA,EC,Mon,6.761904761904762,1.0,4,42,15,12,11,45.541102,11.540762
BRENNERO,EC,Mon,5.602564102564102,0.0,6,78,29,20,10,47.004117,11.505711
DOMODOSSOLA,EC,Mon,2.857142857142857,1.0,14,161,58,34,14,46.115429,8.296684
FIRENZE S.M.N.,EC,Mon,-2.0,-2.0,1,1,0,0,0,43.776893,11.247373
MILANO CENTRALE,EC,Mon,5.215909090909091,2.0,20,176,73,58,35,45.486347,9.204528
MODENA,EC,Mon,33.0,7.0,1,3,2,2,1,44.654461,10.930373
PIACENZA,EC,Mon,0.0,2.0,1,3,0,0,0,45.052238,9.70633
RHO FIERA MILANO,EC,Mon,4.5,2.0,3,4,1,1,1,,
TORINO PORTA SUSA,EC,Mon,10.842105263157896,4.0,2,19,10,6,3,45.075906,7.667673
GENOVA P.PRINCIPE,EC,Mon,6.333333333333333,3.0,1,3,1,1,1,44.417784,8.9207
MILANO ROGOREDO,EC,Mon,5.5,4.0,2,6,4,2,0,45.433866,9.2391
PADOVA,EC,Mon,5.813953488372093,1.0,5,43,14,12,12,45.417846,11.880794
PARMA,EC,Mon,35.0,10.0,1,3,2,2,1,44.810203,10.32837
PAVIA,EC,Mon,6.333333333333333,5.0,1,3,2,1,1,45.188843,9.144674
REGGIO EMILIA,EC,Mon,36.333333333333336,11.0,1,3,2,2,2,44.697793,10.643093
TORTONA,EC,Mon,3.6666666666666665,3.0,1,3,1,1,1,44.900126,8.861777
VENEZIA SANTA LUCIA,EC,Mon,7.413793103448276,2.0,3,29,11,10,8,45.441569,12.320882
VIPITENO,EC,Mon,7.0,-3.0,2,24,5,4,3,46.895732,11.440206
