stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
MADDALONI INFERIORE,MET,Sat,9.0,10.0,5,5,4,4,2,41.035954,14.380504
NAPOLI GIANTURCO,MET,Sat,-1.4139917695473252,-2.0,213,2430,129,66,18,40.853959,14.288213
NAPOLI S.GIOV.BARRA,MET,Sat,-0.030758714969241284,0.0,129,1463,66,20,5,40.831269,14.307811
NOCERA SUPERIORE,MET,Sat,2.756508422664625,2.0,58,653,147,53,11,40.742597,14.672398
PIAZZA AMEDEO,MET,Sat,-1.7765869744435285,-2.0,212,1213,32,16,7,40.838506,14.232974
ACERRA,MET,Sat,3.217391304347826,3.0,18,207,62,30,9,40.939066,14.372243
CAVA DEI TIRRENI,MET,Sat,2.2222222222222223,2.0,58,648,129,50,10,40.703662,14.708461
POMPEI,MET,Sat,1.9419847328244275,1.0,58,655,129,45,13,40.745918,14.501109
SALERNO,MET,Sat,-1.8302469135802468,-3.0,29,324,18,11,4,40.675137,14.772822
CASERTA,MET,Sat,1.9052631578947368,2.0,8,95,23,11,1,41.068655,14.328457
CASTELLAMMARE DI STABIA,MET,Sat,5.0,1.0,2,2,1,1,0,40.701398,14.483737
CAVALLEGGERI AOSTA,MET,Sat,-0.559620596205962,-1.0,128,1476,36,12,2,40.819292,14.185679
NAPOLI CAMPI FLEGREI,MET,Sat,-1.4577822990844354,-2.0,171,1966,45,25,8,40.822462,14.194649
NAPOLI CENTRALE,MET,Sat,10.0,10.0,1,1,1,1,0,40.852933,14.272908
NAPOLI PIAZZA GARIBALDI,MET,Sat,4.5,0.0,2,2,1,1,0,40.852326,14.275159
NOCERA INFERIORE,MET,Sat,3.0060975609756095,2.0,58,656,171,53,14,40.745318,14.635346
POZZUOLI SOLFATARA,MET,Sat,-0.5006765899864682,-1.0,64,739,25,12,6,40.827586,14.126163
S.MARIA LA BRUNA,MET,Sat,1.3541076487252124,1.0,64,706,79,37,12,40.755435,14.407647
SCAFATI,MET,Sat,1.6030534351145038,1.0,58,655,106,36,12,40.746028,14.523253
TORRE ANNUNZIATA CENTRALE,MET,Sat,1.9090909090909092,1.0,62,682,111,46,12,40.747131,14.463744
ANGRI,MET,Sat,3.1185410334346506,3.0,58,658,241,83,14,40.746404,14.575366
BAGNOLI AGNANO TERME,MET,Sat,-0.6885026737967914,-1.0,128,748,10,5,2,40.819444,14.166694
CANCELLO,MET,Sat,3.8840579710144927,4.0,18,207,108,40,5,40.993063,14.418877
CASALNUOVO,MET,Sat,3.3106796116504853,3.0,18,206,64,35,8,40.915559,14.35296
DUOMO VIA VERNIERI,MET,Sat,0.0,0.0,1,1,0,0,0,,
NAPOLI MERGELLINA,MET,Sat,11.5,10.0,2,2,2,2,1,40.831531,14.218662
NAPOLI MONTESANTO,MET,Sat,1.0,1.0,1,1,0,0,0,40.847807,14.244022
NAPOLI PIAZZA LEOPARDI,MET,Sat,-0.004528612597776863,-1.0,213,2429,114,50,16,40.82397,14.199117
PAGANI,MET,Sat,3.3328267477203646,3.0,58,658,242,77,15,40.74654,14.616996
PIAZZA CAVOUR,MET,Sat,-1.4664484451718494,-2.0,108,611,37,17,6,40.855248,14.255175
PORTICI- ERCOLANO,MET,Sat,1.0538243626062322,0.0,64,706,73,31,7,40.809907,14.335809
TORRE DEL GRECO,MET,Sat,1.293201133144476,1.0,64,706,82,36,11,40.787631,14.363159
TRACCIA,MET,Sat,3.0,3.0,1,12,3,0,0,,
VIETRI SUL MARE,MET,Sat,0.0,0.0,1,1,0,0,0,40.674996,14.726829
