stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ABBASANTA,REG,Sun,1.3661971830985915,0.0,12,142,26,13,7
ACQUAFREDDA,REG,Sun,9.0,5.0,2,2,2,1,1
ACQUAVIVA,REG,Sun,2.0709677419354837,1.0,13,155,24,11,6
ACQUAVIVA DELLE FONTI,REG,Sun,1.6170212765957446,1.0,11,141,15,7,5
ACQUEDOLCI-S.FRATELLO,REG,Sun,0.36923076923076925,0.0,5,65,5,3,0
AGROPOLI CASTELLABATE,REG,Sun,2.6468842729970326,1.0,27,337,102,74,30
AIRASCA,REG,Sun,1.1352657004830917,0.0,16,207,32,13,1
ALBAIRATE VERMEZZO,REG,Sun,0.5300546448087432,-1.0,49,549,55,36,18
ALBANO DI LUCANIA,REG,Sun,4.384615384615385,1.0,2,26,6,5,1
ALBANO LAZIALE,REG,Sun,-0.45054945054945056,-1.0,7,91,2,0,0
ALBENGA,REG,Sun,3.0065789473684212,3.0,36,456,181,101,28
ALBIZZATE SOLBIATE ARNO,REG,Sun,0.8110687022900763,-1.0,69,524,97,47,11
ALI` TERME,REG,Sun,0.1921182266009852,0.0,18,203,17,9,5
ALVIANO,REG,Sun,8.0,8.0,6,8,6,5,2
ANDORA,REG,Sun,2.0869565217391304,1.0,20,253,65,42,8
APPIANO,REG,Sun,1.9771505376344085,1.0,67,744,108,44,8
ARBOSTELLA,REG,Sun,0.38181818181818183,0.0,30,55,1,0,0
ARCE,REG,Sun,2.25,2.0,2,16,2,2,1
ARCENE,REG,Sun,1.0,1.0,1,1,0,0,0
ARCOLA,REG,Sun,3.3333333333333335,0.0,2,3,1,1,0
ARSOLI,REG,Sun,2.0476190476190474,1.0,10,126,24,9,1
ASOLA,REG,Sun,5.683333333333334,4.0,15,180,101,60,15
AUGUSTA,REG,Sun,1.24,1.0,10,100,19,12,8
BAGNI DI LUCCA,REG,Sun,2.029940119760479,1.0,13,167,43,21,4
BAGNOLO IN PIANO,REG,Sun,0.47619047619047616,0.0,3,21,2,2,0
BALSORANO,REG,Sun,1.0,-1.0,2,17,2,1,1
BARAGIANO,REG,Sun,4.511627906976744,2.0,8,86,33,25,9
BARBIANO,REG,Sun,1.8636363636363635,1.0,3,22,1,1,1
BARI S. SPIRITO,REG,Sun,2.5055762081784385,1.0,21,269,51,34,18
