stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BRESCIA,EC,Thu,7.588235294117647,5.0,3,17,10,7,5,45.532315,10.212828
CHIASSO,EC,Thu,-1.2307692307692308,-3.0,7,13,2,2,0,45.830736,9.03421
MILANO CENTRALE,EC,Thu,5.614130434782608,2.0,20,184,72,52,30,45.486347,9.204528
PAVIA,EC,Thu,3.5,2.0,1,4,2,1,0,45.188843,9.144674
PESCHIERA DEL GARDA,EC,Thu,8.235294117647058,4.0,3,17,10,7,6,45.438502,10.702509
VIPITENO,EC,Thu,-0.8695652173913043,-2.0,2,23,3,3,2,46.895732,11.440206
BRENNERO,EC,Thu,0.961038961038961,-1.0,6,77,24,17,7,47.004117,11.505711
BRESSANONE,EC,Thu,5.046052631578948,3.0,12,152,73,51,24,46.710088,11.649677
COMO S. GIOVANNI,EC,Thu,2.9473684210526314,3.0,19,95,39,20,2,45.808946,9.072331
DOMODOSSOLA,EC,Thu,2.793103448275862,1.0,14,145,48,36,14,46.115429,8.296684
GENOVA P.PRINCIPE,EC,Thu,6.0,4.0,1,4,3,2,0,44.417784,8.9207
MILANO LAMBRATE,EC,Thu,2.888888888888889,3.0,3,9,4,1,0,45.484933,9.237333
MODENA,EC,Thu,2.2,2.0,2,5,2,2,0,44.654461,10.930373
PADOVA,EC,Thu,6.386363636363637,3.0,6,44,20,17,10,45.417846,11.880794
STRESA,EC,Thu,6.313725490196078,6.0,9,102,70,53,18,45.884486,8.531454
TRENTO,EC,Thu,5.821705426356589,4.0,10,129,70,46,23,46.072414,11.118941
VENEZIA MESTRE,EC,Thu,5.2926829268292686,1.0,5,41,15,13,7,45.482123,12.232069
BARDONECCHIA,EC,Thu,9.923076923076923,4.0,2,13,8,6,3,45.076447,6.709959
BOLOGNA C.LE,EC,Thu,9.523809523809524,5.0,5,42,27,21,11,44.50626,11.342267
MILANO ROGOREDO,EC,Thu,2.888888888888889,4.0,3,9,5,3,0,45.433866,9.2391
MODANE,EC,Thu,8.333333333333334,1.0,4,12,5,5,4,,
PARMA,EC,Thu,4.8,1.0,2,5,2,2,2,44.810203,10.32837
RHO FIERA MILANO,EC,Thu,4.555555555555555,6.0,3,9,5,5,1,,
TORINO PORTA SUSA,EC,Thu,10.772727272727273,1.0,4,22,9,7,5,45.075906,7.667673
VENEZIA SANTA LUCIA,EC,Thu,6.538461538461538,3.0,3,26,12,9,6,45.441569,12.320882
VERONA PORTA NUOVA,EC,Thu,7.061068702290076,4.0,12,131,73,51,25,45.428603,10.982377
VICENZA,EC,Thu,5.837209302325581,3.0,5,43,20,16,11,45.541102,11.540762
FIRENZE CAMPO MARTE,EC,Thu,21.0,21.0,1,1,1,1,1,43.776856,11.27702
GALLARATE,EC,Thu,8.571428571428571,5.0,5,56,41,24,10,45.659828,8.798243
PIACENZA,EC,Thu,1.8,2.0,2,5,1,1,0,45.052238,9.70633
REGGIO EMILIA,EC,Thu,5.0,3.0,2,5,2,2,2,44.697793,10.643093
ROVERETO,EC,Thu,6.5813953488372094,5.0,10,129,75,55,25,45.890985,11.033518
TARVISIO BOSCOVERDE,EC,Thu,28.0,28.0,1,1,1,1,1,46.505956,13.608012
TORTONA,EC,Thu,1.25,1.0,1,4,0,0,0,44.900126,8.861777
