stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
FIRENZE CAMPO MARTE,EN,Tue,42.0,22.0,2,9,9,7,7,43.776856,11.27702
LA SPEZIA CENTRALE,EN,Tue,-3.230769230769231,-5.0,1,13,1,1,0,44.11141,9.813906
PESCHIERA DEL GARDA,EN,Tue,1.1538461538461537,0.0,1,13,3,2,0,45.438502,10.702509
RECCO,EN,Tue,11.0,11.0,1,1,1,1,1,44.361215,9.146788
VERONA PORTA NUOVA,EN,Tue,-1.3846153846153846,-2.0,1,13,2,1,0,45.428603,10.982377
VICENZA,EN,Tue,-2.0,-4.0,1,13,2,1,0,45.541102,11.540762
BRESCIA,EN,Tue,4.230769230769231,5.0,1,13,9,6,0,45.532315,10.212828
DESENZANO,EN,Tue,2.230769230769231,1.0,1,13,3,2,0,45.462677,10.536322
FIRENZE RIFREDI,EN,Tue,4.0,4.0,1,1,1,0,0,43.800873,11.235729
FIRENZE S.M.N.,EN,Tue,9.0,5.0,1,6,5,3,3,43.776893,11.247373
GENOVA P.PRINCIPE,EN,Tue,6.5,-15.0,2,14,3,3,1,44.417784,8.9207
LEVANTO,EN,Tue,1.8571428571428572,1.0,2,14,3,2,2,44.174167,9.616018
MILANO ROGOREDO,EN,Tue,-3.3076923076923075,-4.0,1,13,0,0,0,45.433866,9.2391
SESTRI LEVANTE,EN,Tue,-13.0,-13.0,1,1,0,0,0,44.27626,9.397651
BOLOGNA C.LE,EN,Tue,23.5,11.0,2,18,11,10,10,44.50626,11.342267
PADOVA,EN,Tue,6.2727272727272725,-3.0,3,22,10,9,7,45.417846,11.880794
PAVIA,EN,Tue,3.6923076923076925,2.0,1,13,4,4,1,45.188843,9.144674
TARVISIO BOSCOVERDE,EN,Tue,21.0,10.0,1,5,4,4,2,46.505956,13.608012
ROMA TERMINI,EN,Tue,46.0,42.0,1,13,9,9,8,41.900636,12.502026
